,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
69,4096,1749.0,364.32921186199997,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
70,0,1064.0,0.015549038000244764,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",500,0.5,True,4096,500,0.5
71,1,1431.0,0.22891638900000544,"[ 3. 12. 19. 17. 18. 16.  8.  3. 19.  2. 18. 12.  9.  5. 10. 19. 18. 16.
  4. 16. 19.  9.  8.  4.  4. 19. 16. 12. 13.  2. 10. 13. 19. 10. 19.]",500,0.5,True,4096,500,0.5
72,2,1479.0,0.4728290050002215,"[16.  6.  5. 13. 11. 15. 12. 11. 18.  0.  7.  9. 17. 14.  1.  9.  3. 10.
 10.  1. 18. 19. 16.  4. 19. 18. 14. 13. 18. 18. 16. 16. 18. 17. 15.]",500,0.5,True,4096,500,0.5
73,4,1514.0,0.9794024290004018,"[12.  4.  3. 18. 18. 18. 15. 16. 18.  6. 17. 12. 16. 17.  4.  9. 12. 18.
  7.  2. 15. 19.  9. 11. 17. 16.  5.  6. 10. 10. 19.  5. 15. 12. 14.]",500,0.5,True,4096,500,0.5
74,8,1610.0,1.977441466000073,"[ 2. 15. 12. 14.  2. 17. 18. 15. 19.  5. 15.  3. 19. 15. 18. 17. 18. 17.
  1.  2. 14. 17. 17. 13. 19. 12. 12. 16. 19. 13. 16.  7. 19. 15. 19.]",500,0.5,True,4096,500,0.5
75,16,1699.0,3.7002644140002303,"[ 3.  6.  2. 16. 10. 18. 17. 13. 18.  2. 18.  5. 16. 18. 18. 17. 18. 15.
  1. 19. 16. 19. 19. 10. 19. 17. 14. 11.  1. 17. 17. 13. 19. 11. 19.]",500,0.5,True,4096,500,0.5
76,32,1753.0,7.087353203000021,"[ 1.  5.  2. 16. 18. 18. 18. 17. 19.  2. 18.  0. 16. 18. 16. 16. 18. 18.
  1. 19. 17. 19. 19. 13. 19. 17. 14. 11.  1. 17.  9. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
77,64,1758.0,17.130419818000064,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
78,128,1758.0,38.67305150100037,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
79,256,1758.0,81.70843086400009,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
80,512,1758.0,167.67353439900035,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
81,1024,1758.0,341.12270367400015,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
82,2048,1758.0,347.04242912200016,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
83,4096,1758.0,347.04242912200016,"[ 1.  5.  2. 19. 18. 18. 17. 13. 19.  2. 18.  1. 16. 18. 18. 17. 19. 18.
  1. 19. 16. 19. 19. 11. 19.  0. 14. 11.  1. 17. 19. 14. 19. 15. 19.]",500,0.5,True,4096,500,0.5
