,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
84,32,999.0,0.006473345000131303,"[ 7  0  3 12 12 14 13 14 12  4  7  6 10 16  7 12 13  5  3  1 16  5  2 14
  2  9 14  8 16  7  9  2  5  5 10]",1000,2048,1000,geometric,1000,0.99,0.001,999.9349428249628
85,64,1067.0,0.010768396000003122,"[12 15  3  7 12 11 13  9 12  4  9 11 10  9 16 12 17  5  9  1 16 12  2  1
  2 18 14 15 16  7  9  8  1  4 17]",1000,2048,1000,geometric,1000,0.99,0.001,999.8917798598184
86,128,963.0,0.02085671000008915,"[ 2 15  8  4 15 16  0  7 12  9  0  5  2  2  4 11 10  1 18  8 18  2 19 17
 12 18 18 15  9  4  1  8  1  9 17]",1000,2048,1000,geometric,1000,0.99,0.001,999.7904050277958
87,256,1274.0,0.055645253000193406,"[11 13  6  5 14 18  9 19 11  5 10  1 15 14 17 14  7  8  0  8 18 17 19  7
  0  9  0 19  4  6 17 19 11  7 17]",1000,2048,1000,geometric,1000,0.99,0.001,999.4409028717748
88,512,1567.0,0.09701743600021473,"[11  6  7 19 16 18 17 16 19  1 14  1 17 14  8 16 12  8  3 15 18  1 16  7
 14 14 19  6 15 17 18  6 18 18 17]",1000,2048,1000,geometric,1000,0.99,0.001,999.0254173989575
89,1024,1624.0,0.19082910800011632,"[11  4  7 19 16 18 17 15 19  0 14  1 19 14 13 16 12  8  3 15 18 11 17 10
 14 13 19  6 15 16 18  4 18 18 15]",1000,2048,1000,geometric,1000,0.99,0.001,998.0839413624971
90,2048,1624.0,0.22542330800001764,"[11  4  7 19 16 18 17 15 19  0 14  1 19 14 13 16 12  8  3 15 18 11 17 10
 14 13 19  6 15 16 18  4 18 18 15]",1000,2048,1000,geometric,1000,0.99,0.001,997.7369845346071
91,0,1064.0,0.00012877600011051982,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.9967643969662
92,1,1060.0,0.0005238389999249193,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.986838139941
93,2,1090.0,0.010037685000042984,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.747807457466
94,4,1124.0,0.010550102000024708,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.7349338820304
95,8,1104.0,0.011303351999913502,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.7160099216208
96,16,1054.0,0.01254789399990841,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",2500,2048,2500,geometric,2500,0.99,0.001,2499.6847435066193
97,32,999.0,0.014731444000062766,"[ 7  0  3 12 12 14 13 14 12  4  7  6 10 16  7 12 13  5  3  1 16  5  2 14
  2  9 14  8 16  7  9  2  5  5 10]",2500,2048,2500,geometric,2500,0.99,0.001,2499.629887499838
98,64,1067.0,0.018894387000045754,"[12 15  3  7 12 11 13  9 12  4  9 11 10  9 16 12 17  5  9  1 16 12  2  1
  2 18 14 15 16  7  9  8  1  4 17]",2500,2048,2500,geometric,2500,0.99,0.001,2499.5253077345137
99,128,939.0,0.027751521000027424,"[ 2 15  8  4 15 16  0  7 12  9  0  5  2  2  4 11 10  1 18  2 18  2 19 17
 12 18 18 15  9  4  1  8  1  9 17]",2500,2048,2500,geometric,2500,0.99,0.001,2499.3028169646745
100,256,1021.0,0.04577539299998534,"[ 0 12 19  5 14  7  9 19  6  5 16  1 15 14 18 14  7  8  0  2  0 17 17  7
  0  0  0 19  4  6  3  7 11  7 17]",2500,2048,2500,geometric,2500,0.99,0.001,2498.850119342532
101,512,1418.0,0.08686015600005703,"[16  5 12 19 16 10 17 16 19 10 14 18 17  3 18 15  1  4  3 18 18  1 17 12
 14 14  6  4 15 17  5  0 18 18 17]",2500,2048,2500,geometric,2500,0.99,0.001,2497.818517976579
102,1024,1474.0,0.18688117800002146,"[16  6 19 19 16 15 18 15 10  9 18 12 17  7 18 16  1  7  3 18 18  4 17  9
 14 11  5 19 15 14  5  0 18 18 15]",2500,2048,2500,geometric,2500,0.99,0.001,2495.3088603629535
103,2048,1474.0,0.2681752119999601,"[16  6 19 19 16 15 18 15 10  9 18 12 17  7 18 16  1  7  3 18 18  4 17  9
 14 11  5 19 15 14  5  0 18 18 15]",2500,2048,2500,geometric,2500,0.99,0.001,2493.270944949077
104,0,1064.0,0.00011251699993408693,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.994345835004
105,1,1060.0,0.0004964279999057908,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.975053721601
106,2,1090.0,0.0010020370000347611,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.949646211612
107,4,1124.0,0.0016421860000264132,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.9174780768235
108,8,1104.0,0.0025470549999226932,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.872007847294
109,16,1054.0,0.003909842999973989,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",5000,2048,5000,geometric,5000,0.99,0.001,4999.803527683817
