,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
101,512,788.7215095866258,0.08621220899999571,[13 16 12  4 21  6 15 20  5 14  0 11 10  3  7  1 19  8 18  9 17  2],2500,2048,2500,geometric,2500,0.99,0.001,2497.8347840359606
102,1024,533.6920763138196,0.1716873289999512,[ 7  3  4  6 21 16 15  5 20 14  9 12 10 11 13  1 19  2 18  8 17  0],2500,2048,2500,geometric,2500,0.99,0.001,2495.689931318567
103,2048,495.673137714557,0.4033206249998784,[ 7  3 11  6 21 16 15  5 20 14  9 12 10  4 13  1 19  2 18  8 17  0],2500,2048,2500,geometric,2500,0.99,0.001,2489.8867415883933
104,0,1211.1046030266018,0.0001020120000703173,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],5000,2048,5000,geometric,5000,0.99,0.001,4999.994873728319
105,1,1210.120124734893,0.00043718500000977656,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],5000,2048,5000,geometric,5000,0.99,0.001,4999.978030767864
106,2,1234.3281782612792,0.0007953980000365846,[ 1  5  3 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  2  7 15],5000,2048,5000,geometric,5000,0.99,0.001,4999.960030074572
107,4,1252.3081672804815,0.001300033000006806,[17  5  3 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  2  7 15],5000,2048,5000,geometric,5000,0.99,0.001,4999.934671585431
108,8,1232.867674753482,0.0021157440000934002,[17  5  0 21 19 12 11  3 16  6  2  8 13 20  1  9 10 14  4 18  7 15],5000,2048,5000,geometric,5000,0.99,0.001,4999.893681441475
109,16,1039.6542732342214,0.0035210619998906623,[17 14  0  5 19 13  4  3 16  6  8  2 10 20  1  9 18 21 11 15  7 12],5000,2048,5000,geometric,5000,0.99,0.001,4999.823063852415
110,32,1046.2426317814372,0.0062075789999198605,[17  9  7 19  4 18 20 14 12  6  8  1 10  3  5 11 16 21 15  2  0 13],5000,2048,5000,geometric,5000,0.99,0.001,4999.688068461602
111,64,1155.3503615216594,0.011368578999963574,[11  2  5 17 16 19  6 15  0  4  3  1 10 20  8 14  7 13 21 18  9 12],5000,2048,5000,geometric,5000,0.99,0.001,4999.428742450372
112,128,1054.6499489588778,0.02173482500006685,[10 18  7 16 20  3  4 13 14  5 17  8  1 19  6  9 12 15 11  2  0 21],5000,2048,5000,geometric,5000,0.99,0.001,4998.9079078290615
113,256,1068.5885880128378,0.042953783000029944,[16 20  8 14 13 15  5 11  4 18  9 21 19 12  7  3  6  0 10  1  2 17],5000,2048,5000,geometric,5000,0.99,0.001,4997.841966118426
114,512,893.834945457159,0.08714234900003248,[21 11 13 10  3  1  5 20  4 12  7 17  8  2 19 15  6 18  9 14  0 16],5000,2048,5000,geometric,5000,0.99,0.001,4995.622867675077
115,1024,568.6836440917475,0.1753538870000284,[21  6 11  2 19 18  8 14 20  5  9 15 17  1 13  4 10  0 12  7  3 16],5000,2048,5000,geometric,5000,0.99,0.001,4991.195932982699
116,2048,537.3115045141581,0.4043489220000538,[21  6 11 19  2 18  8 14 20  5  9  0 17  1 13  4 10  7 12 15  3 16],5000,2048,5000,geometric,5000,0.99,0.001,4979.722018827271
117,0,1211.1046030266018,0.00010015700013354945,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],10000,2048,10000,geometric,10000,0.99,0.001,9999.989933890172
118,1,1210.120124734893,0.0004292430000987224,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],10000,2048,10000,geometric,10000,0.99,0.001,9999.956859729917
119,2,1234.3281782612792,0.0007712870001341798,[ 1  5  3 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  2  7 15],10000,2048,10000,geometric,10000,0.99,0.001,9999.922483366534
120,4,1252.3081672804815,0.0012732570000935084,[17  5  3 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  2  7 15],10000,2048,10000,geometric,10000,0.99,0.001,9999.87203421398
121,8,1232.867674753482,0.002097520000006625,[17  5  0 21 19 12 11  3 16  6  2  8 13 20  1  9 10 14  4 18  7 15],10000,2048,10000,geometric,10000,0.99,0.001,9999.789194417386
122,16,1039.6542732342214,0.003513293000196427,[17 14  0  5 19 13  4  3 16  6  8  2 10 20  1  9 18 21 11 15  7 12],10000,2048,10000,geometric,10000,0.99,0.001,9999.64690848779
123,32,1046.2426317814372,0.006207250000215936,[17  9  7 19  4 18 20 14 12  6  8  1 10  3  5 11 16 21 15  2  0 13],10000,2048,10000,geometric,10000,0.99,0.001,9999.376169986715
124,64,1155.3503615216594,0.01138391400013461,[11  2  5 17 16 19  6 15  0  4  3  1 10 20  8 14  7 13 21 18  9 12],10000,2048,10000,geometric,10000,0.99,0.001,9998.855943857927
125,128,1054.6499489588778,0.022097913000152403,[10 18  7 16 20  3  4 13 14  5 17  8  1 19  6  9 12 15 11  2  0 21],10000,2048,10000,geometric,10000,0.99,0.001,9997.77933213167
126,256,885.6652867249852,0.04351818300006016,[15 21 16  1  8  5 20  2 18 13 11 14  7  0  9 17 19 10  6  3  4 12],10000,2048,10000,geometric,10000,0.99,0.001,9995.627232784607
127,512,1019.1053261331842,0.08836090400018293,[17  0 15 18 20  2 10 12 21  9  8  4 11 16  3  7  5  6 13 19 14  1],10000,2048,10000,geometric,10000,0.99,0.001,9991.12337444184
128,1024,592.7093727633566,0.17690372800007026,[14 20 15 12 13  4 10  7 17  0 16 21  6 11  3  5  8 18  2 19  1  9],10000,2048,10000,geometric,10000,0.99,0.001,9982.236377222416
129,2048,525.4466635986848,0.40477080800019394,[14 20 15 12  0 13  4 10  3  7 16 21  6 11  1 17 19  2 18  8  9  5],10000,2048,10000,geometric,10000,0.99,0.001,9959.401808745311
